,train_acc,valid_acc,test_acc,model,n_suprious
0,1.0,0.7,0.7,Graphsage,2.0
1,0.8666666666666667,0.7,0.7,proposed,2.0
2,0.7666666666666667,0.45,0.55,Graphsage,1.0
3,0.6666666666666666,0.5,0.5,proposed,1.0
4,0.9666666666666667,0.75,0.55,Graphsage,1.0
5,0.9,0.65,0.45,proposed,1.0
6,0.8333333333333334,0.55,0.65,Graphsage,2.0
7,0.9666666666666667,0.7,0.3,proposed,2.0
8,1.0,0.55,0.4,Graphsage,1.0
9,0.9333333333333333,0.6,0.65,proposed,1.0
10,0.7666666666666667,0.5,0.4,Graphsage,4.0
11,1.0,0.8,0.45,proposed,4.0
12,0.9666666666666667,0.65,0.55,Graphsage,1.0
13,0.9666666666666667,0.65,0.55,proposed,1.0
14,0.8333333333333334,0.45,0.4,Graphsage,3.0
15,0.9333333333333333,0.55,0.35,proposed,3.0
16,0.9,0.45,0.6,Graphsage,2.0
17,0.9333333333333333,0.35,0.65,proposed,2.0
18,1.0,0.7,0.7,Graphsage,4.0
19,0.8,0.55,0.85,proposed,4.0
20,0.9333333333333333,0.6,0.45,Graphsage,3.0
21,0.9333333333333333,0.45,0.6,proposed,3.0
22,1.0,0.75,0.65,Graphsage,2.0
23,1.0,0.75,0.55,proposed,2.0
24,0.9666666666666667,0.65,0.35,Graphsage,1.0
25,1.0,0.55,0.35,proposed,1.0
26,0.8,0.55,0.75,Graphsage,2.0
27,0.9666666666666667,0.6,0.5,proposed,2.0
28,0.8666666666666667,0.65,0.55,Graphsage,3.0
29,0.9333333333333333,0.5,0.55,proposed,3.0
30,1.0,0.4,0.5,Graphsage,3.0
31,0.9333333333333333,0.6,0.4,proposed,3.0
32,0.9666666666666667,0.65,0.6,Graphsage,3.0
33,0.8333333333333334,0.7,0.2,proposed,3.0
34,0.9,0.65,0.4,Graphsage,1.0
35,0.8,0.7,0.6,proposed,1.0
36,0.5666666666666667,0.75,0.6,Graphsage,1.0
37,0.8666666666666667,0.5,0.45,proposed,1.0
38,0.7666666666666667,0.55,0.35,Graphsage,3.0
39,0.8666666666666667,0.65,0.35,proposed,3.0
40,1.0,0.75,0.65,Graphsage,2.0
41,1.0,0.8,0.7,proposed,2.0
42,0.8333333333333334,0.75,0.8,Graphsage,4.0
43,0.7333333333333333,0.65,0.5,proposed,4.0
44,0.9666666666666667,0.6,0.4,Graphsage,1.0
45,1.0,0.75,0.35,proposed,1.0
46,0.9666666666666667,0.45,0.45,Graphsage,1.0
47,0.9,0.5,0.55,proposed,1.0
48,0.6666666666666666,0.5,0.5,Graphsage,1.0
49,0.9333333333333333,0.4,0.45,proposed,1.0
50,0.6,0.45,0.4,Graphsage,2.0
51,0.9666666666666667,0.7,0.8,proposed,2.0
52,1.0,0.75,0.2,Graphsage,3.0
53,0.9,0.65,0.45,proposed,3.0
54,0.9333333333333333,0.3,0.45,Graphsage,2.0
55,0.9,0.4,0.4,proposed,2.0
56,1.0,0.6,0.5,Graphsage,3.0
57,0.8333333333333334,0.7,0.5,proposed,3.0
58,1.0,0.65,0.75,Graphsage,1.0
59,0.7,0.45,0.7,proposed,1.0
60,0.9333333333333333,0.6,0.55,Graphsage,2.0
61,0.9,0.7,0.55,proposed,2.0
62,1.0,0.55,0.6,Graphsage,1.0
63,0.7333333333333333,0.4,0.4,proposed,1.0
64,0.9333333333333333,0.45,0.6,Graphsage,2.0
65,0.7666666666666667,0.5,0.75,proposed,2.0
66,0.8333333333333334,0.6,0.25,Graphsage,3.0
67,0.9333333333333333,0.45,0.6,proposed,3.0
68,1.0,0.75,0.55,Graphsage,2.0
69,0.9,0.65,0.55,proposed,2.0
70,0.8333333333333334,0.8,0.55,Graphsage,4.0
71,0.9333333333333333,0.7,0.55,proposed,4.0
72,0.9,0.8,0.7,Graphsage,3.0
73,1.0,0.85,0.7,proposed,3.0
74,1.0,0.75,0.55,Graphsage,1.0
75,0.9666666666666667,0.75,0.5,proposed,1.0
76,1.0,0.65,0.55,Graphsage,1.0
77,0.8,0.4,0.4,proposed,1.0
78,0.8,0.55,0.35,Graphsage,3.0
79,0.6333333333333333,0.4,0.55,proposed,3.0
80,1.0,0.7,0.5,Graphsage,1.0
81,0.9,0.65,0.6,proposed,1.0
82,1.0,0.75,0.5,Graphsage,3.0
83,0.9666666666666667,0.8,0.5,proposed,3.0
84,1.0,0.45,0.55,Graphsage,2.0
85,0.8333333333333334,0.2,0.4,proposed,2.0
86,1.0,0.6,0.75,Graphsage,1.0
87,1.0,0.75,0.7,proposed,1.0
88,0.9666666666666667,0.7,0.45,Graphsage,2.0
89,0.7666666666666667,0.65,0.7,proposed,2.0
90,0.8666666666666667,0.45,0.4,Graphsage,1.0
91,1.0,0.75,0.45,proposed,1.0
92,0.8333333333333334,0.35,0.3,Graphsage,3.0
93,0.9,0.45,0.4,proposed,3.0
94,0.9666666666666667,0.5,0.65,Graphsage,2.0
95,0.9,0.6,0.5,proposed,2.0
96,1.0,0.6,0.3,Graphsage,5.0
97,0.8333333333333334,0.65,0.1,proposed,5.0
98,0.7333333333333333,0.45,0.45,Graphsage,2.0
99,0.8,0.45,0.35,proposed,2.0
